parcel_id,address,fin_sqft,year_built,sale_date,sale_price,county
040-0007-0039-00,2779 MARKBREIT AVE,1616,1936,2025-08-11,"$550,000",Hamilton
043-0005-0064-00,1286 HERSCHEL AVE,2736,1936,2025-08-11,"$1,170,000",Hamilton
019-0002-0094-00,3310 LOOKOUT DR,2368,1926,2025-08-11,"$1,065,000",Hamilton
032-0002-0095-00,1932 RIVERSIDE DR,,,2025-08-11,"$300,000",Hamilton
046-0005-0079-00,1354 MICHIGAN AVE,,,2025-08-11,"$1,997,000",Hamilton
003-0002-0031-00,6041 COLTER AVE,1332,1911,2025-08-11,"$235,000",Hamilton
032-0002-0094-00,1930 RIVERSIDE DR,,,2025-08-11,"$300,000",Hamilton
002-0002-0474-00,1827 CORALBERRY CT,1320,2000,2025-08-11,"$285,000",Hamilton
032-0002-0093-00,1928 RIVERSIDE DR,,,2025-08-11,"$300,000",Hamilton
037-0002-0377-00,6721 BRAMBLE AVE,842,1954,2025-08-11,"$275,000",Hamilton
044-0004-0073-00,3041 KINMONT ST,952,1930,2025-08-11,"$332,900",Hamilton
003-0004-0099-00,1643 LONGBOURNE ST,1960,1955,2025-08-11,"$225,000",Hamilton
042-0009-0225-00,2444 1707 MADISON RD,1905,1967,2025-08-11,"$412,500",Hamilton
028-0003-0133-00,234 WORTH ST,,,2025-08-11,"$25,000",Hamilton
004-0004-0213-00,1225 MOONKIST CT,1025,1962,2025-08-11,"$266,000",Hamilton
051-0010-0079-00,5314 CHARLOE ST,999,1942,2025-08-11,"$119,000",Hamilton
019-0002-0005-00,1122 HERSCHEL AVE,7623,1860,2025-08-11,"$1,435,000",Hamilton
054-0004-0056-00,3344 SPOKANE AVE,1745,1892,2025-08-08,"$70,000",Hamilton
054-0004-0055-00,3346 SPOKANE AVE,,,2025-08-08,"$70,000",Hamilton
038-0A03-0499-00,3529 PARKLINE AVE,2044,1925,2025-08-08,"$762,000",Hamilton
042-0004-0046-00,3557 LARKSPUR AVE,1322,1910,2025-08-08,"$190,000",Hamilton
015-0002-0081-00,4719 WILMER CT,1484,1880,2025-08-08,"$80,000",Hamilton
040-0003-0235-00,3906 D EDWARDS RD,2222,2023,2025-08-08,"$636,000",Hamilton
027-0002-0016-00,3720 STEVENS PL,1045,1895,2025-08-07,"$260,000",Hamilton
055-0001-0059-00,3132 DURRELL AVE,1880,1903,2025-08-07,"$95,000",Hamilton
040-0004-0109-00,2742 WILLARD AVE,1193,1911,2025-08-07,"$385,414",Hamilton
001-0001-0342-00,2318 KENLEE DR,1594,1956,2025-08-06,"$315,000",Hamilton
039-0002-0332-00,3316 S STERLING WY,982,1938,2025-08-06,"$347,000",Hamilton
058-0002-0035-00,3421 WOODBURN AVE,1867,1905,2025-08-06,"$270,000",Hamilton
042-0004-0042-00,3571 LARKSPUR AVE,1344,1925,2025-08-06,"$412,900",Hamilton
034-0002-0096-00,5309 OWASCO ST,,,2025-08-06,"$275,000",Hamilton
019-0002-0133-00,1178 HERSCHEL AVE,1424,1910,2025-08-06,"$535,000",Hamilton
050-0008-0073-00,ROSSLYN DR,0,1998,2025-08-05,"$9,070,938",Hamilton
051-0009-0049-00,3905 BROTHERTON RD,0,2005,2025-08-05,"$9,070,938",Hamilton
049-0004-0065-00,4304 THIRTY-FIRST AVE,2252,1915,2025-08-05,"$510,000",Hamilton
028-0006-0297-00,3588 1/2 HANDMAN AVE,3063,2022,2025-08-05,"$1,050,000",Hamilton
028-0005-0107-00,3548 HANDMAN AVE,1662,1913,2025-08-04,"$525,000",Hamilton
055-0001-0013-00,1550 DIXMONT AVE,1440,1910,2025-08-04,"$142,000",Hamilton
043-0002-0084-00,3118 GRIEST AVE,3021,1924,2025-08-04,"$900,000",Hamilton
050-0003-0105-00,3117 MADISON RD,1405,2019,2025-08-04,"$645,000",Hamilton
032-0003-0136-00,1201 1053 EDGECLIFF PL,2795,1990,2025-08-04,"$725,000",Hamilton
051-0005-0108-00,5076 E EASTWOOD CR,1348,1940,2025-08-04,"$110,325",Hamilton
040-0001-0011-00,2881 MARKBREIT AVE,1429,1893,2025-08-04,"$430,000",Hamilton
037-0003-0369-00,6809 VINEWOOD AVE,1188,1926,2025-08-01,"$290,000",Hamilton
036-0006-0120-00,5550 ARNSBY PL,2296,1900,2025-08-01,"$165,000",Hamilton
042-0009-0118-00,2444 708 MADISON RD,1881,1967,2025-08-01,"$345,000",Hamilton
020-0002-0125-00,3661 RUSSELL AVE,,,2025-08-01,"$480,000",Hamilton
020-0002-0124-00,3659 RUSSELL AVE,2292,1895,2025-08-01,"$480,000",Hamilton
042-0A07-0039-00,2128 CRANE AVE,1921,1927,2025-08-01,"$158,000",Hamilton
042-0006-0115-00,2372 5 MADISON RD,790,1940,2025-08-01,"$143,500",Hamilton
044-0006-0010-00,3155 WILLIS AVE,1877,1900,2025-08-01,"$465,000",Hamilton
002-0003-0064-00,6711 BEECHMONT AVE,1855,1939,2025-07-31,"$250,000",Hamilton
036-0001-0107-00,4711 OSGOOD ST,0,1962,2025-07-31,"$605,000",Hamilton
051-0002-0041-00,3552 HARROW AVE,1588,1928,2025-07-31,"$416,900",Hamilton
051-0002-0273-00,3552 HARROW AVE,,,2025-07-31,"$416,900",Hamilton
037-0005-0200-00,7052 PALMETTO ST,1421,1924,2025-07-31,"$315,000",Hamilton
037-0001-0017-00,4105 AZALEA AVE,1058,1915,2025-07-31,"$302,500",Hamilton
038-0A03-0267-00,3720 AYLESBORO AVE,1782,1917,2025-07-31,"$575,000",Hamilton
043-0004-0034-00,3245 GRIEST AVE,1117,1932,2025-07-31,"$342,100",Hamilton
044-0001-0111-00,3069 ALPINE TE,962,1969,2025-07-31,"$199,000",Hamilton
050-0007-0154-00,4114 PILLARS DR,1587,1937,2025-07-31,"$515,000",Hamilton
039-0004-0030-00,3854 ISABELLA AVE,1156,1905,2025-07-30,"$300,000",Hamilton
038-0A03-0029-00,3596 SAYBROOK AVE,1158,1921,2025-07-30,"$405,000",Hamilton
002-0005-0015-00,1486 ANTOINETTE AVE,1107,1954,2025-07-30,"$150,000",Hamilton
039-0007-0118-00,3570 OUTLOOK AVE,,,2025-07-30,"$617,000",Hamilton
037-0005-0008-00,6830 MERWIN AVE,843,1939,2025-07-30,"$177,000",Hamilton
039-0007-0088-00,3570 OUTLOOK AVE,1749,1918,2025-07-30,"$617,000",Hamilton
056-0001-0048-00,2704 HACKBERRY ST,1870,1915,2025-07-29,"$480,000",Hamilton
049-0004-0099-00,4207 THIRTY-SECOND AVE,1380,1914,2025-07-29,"$460,000",Hamilton
039-0003-0136-00,3088 MARKBREIT AVE,1699,1914,2025-07-29,"$425,000",Hamilton
039-0003-0135-00,3104 CELERON AVE,1258,1915,2025-07-29,"$400,000",Hamilton
004-0004-0148-00,1233 DELIQUIA DR,1300,1961,2025-07-29,"$255,000",Hamilton
048-0001-0073-00,2025 FREELAND AVE,2427,2014,2025-07-29,"$670,000",Hamilton
003-0009-0156-00,6474 COPPERLEAF LN,2110,1996,2025-07-29,"$450,000",Hamilton
054-0003-0030-00,1940 KINNEY AVE,,,2025-07-28,"$394,000",Hamilton
053-0001-0092-00,2324 901 MADISON RD,882,1963,2025-07-28,"$147,500",Hamilton
064-0002-0190-00,1730 GRANDMERE LN,2165,2006,2025-07-28,"$475,000",Hamilton
040-0005-0205-00,2817 VICTORIA AVE,3301,1927,2025-07-28,"$600,000",Hamilton
039-0003-0149-00,3937 PAXTON AVE,816,1922,2025-07-28,"$275,000",Hamilton
